epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.47673,3.37709,4.39529,1.7917,0,0,0,0,3.28846,4.48067,1.91737,0,0,0
2,8.24267,3.16101,4.33168,1.75937,0,0,0,0,3.23897,4.46785,1.90744,1.6505e-05,1.6505e-05,1.6505e-05
3,9.40565,2.78155,4.38193,1.62418,0,0,0,0,3.21467,4.45337,1.88978,3.26799e-05,3.26799e-05,3.26799e-05
4,10.4538,3.14415,4.39992,1.63309,0,0,0,0,3.16011,4.41012,1.86561,4.85247e-05,4.85247e-05,4.85247e-05
5,11.8751,2.94566,4.27579,1.63587,0.00104,0.02632,0.00055,0.00022,3.09406,4.33493,1.83819,6.40395e-05,6.40395e-05,6.40395e-05
6,12.8632,3.14828,4.21257,1.70244,0.00209,0.05263,0.00117,0.00029,3.06231,4.28381,1.76935,7.92242e-05,7.92242e-05,7.92242e-05
7,13.8182,2.66267,4.11328,1.58184,0.0021,0.05263,0.00118,0.00029,2.9528,4.24313,1.66601,9.40788e-05,9.40788e-05,9.40788e-05
8,14.9008,2.67873,4.11267,1.48561,0.00314,0.07895,0.00183,0.00047,2.92877,4.17724,1.61035,0.000108603,0.000108603,0.000108603
9,15.9208,2.73063,4.05304,1.4165,0.00634,0.15789,0.00418,0.00091,2.88035,4.15494,1.51262,0.000122798,0.000122798,0.000122798
10,17.0212,2.7109,3.91607,1.43224,0.00437,0.10526,0.00268,0.00076,2.88144,4.1129,1.45727,0.000136662,0.000136662,0.000136662
11,17.973,2.94916,3.84215,1.38352,0.00447,0.10526,0.00273,0.00072,2.85065,4.08246,1.43033,0.000150197,0.000150197,0.000150197
12,18.9383,2.70033,3.7732,1.32829,0.00235,0.05263,0.00131,0.00025,2.87901,4.06309,1.44617,0.000163401,0.000163401,0.000163401
13,19.9154,2.64432,3.55231,1.29495,0.00473,0.0968,0.00556,0.00117,2.86533,4.06593,1.41898,0.000176275,0.000176275,0.000176275
14,21.0824,2.71387,3.46873,1.3117,0.00354,0.07049,0.00548,0.00196,2.80941,4.05201,1.40507,0.000188819,0.000188819,0.000188819
15,22.0277,2.72913,3.40198,1.25619,0.00228,0.04417,0.0048,0.00183,2.72947,4.0216,1.41181,0.000201034,0.000201034,0.000201034
16,22.9874,2.67737,3.24406,1.27678,0.00375,0.07049,0.03416,0.01073,2.66887,3.99368,1.38566,0.000212918,0.000212918,0.000212918
17,23.9873,2.57187,3.25271,1.22559,0.00389,0.07049,0.0343,0.0142,2.657,3.92582,1.40565,0.000224472,0.000224472,0.000224472
18,24.9294,2.28668,3.07026,1.19672,0.00389,0.07049,0.0343,0.0142,2.657,3.92582,1.40565,0.000235695,0.000235695,0.000235695
19,25.887,2.54967,3.09443,1.18224,0.00556,0.0968,0.03687,0.00787,2.6493,3.85685,1.43397,0.000246589,0.000246589,0.000246589
20,26.8446,2.58635,3.08934,1.23924,0.00556,0.0968,0.03687,0.00787,2.6493,3.85685,1.43397,0.000257153,0.000257153,0.000257153
21,27.7859,2.65407,2.9693,1.1762,0.0075,0.12312,0.03938,0.00961,2.66617,3.79917,1.4512,0.000267387,0.000267387,0.000267387
22,28.6804,2.50999,2.94969,1.26672,0.0075,0.12312,0.03938,0.00961,2.66617,3.79917,1.4512,0.00027729,0.00027729,0.00027729
23,29.6057,2.49313,2.88291,1.26569,0.00793,0.12312,0.03829,0.00794,2.70671,3.73102,1.48207,0.000286864,0.000286864,0.000286864
24,30.5203,2.49229,2.66787,1.21585,0.00793,0.12312,0.03829,0.00794,2.70671,3.73102,1.48207,0.000296108,0.000296108,0.000296108
25,31.4071,2.40657,2.66512,1.17863,0.00397,0.05263,0.02278,0.005,2.67211,3.66569,1.50025,0.000305021,0.000305021,0.000305021
26,32.2967,2.39719,2.59171,1.16935,0.00397,0.05263,0.02278,0.005,2.67211,3.66569,1.50025,0.000313604,0.000313604,0.000313604
27,33.1931,2.38814,2.622,1.1689,0.01141,0.15789,0.03837,0.00809,2.69127,3.62487,1.49421,0.000321858,0.000321858,0.000321858
28,34.0959,2.59205,2.56344,1.25141,0.01141,0.15789,0.03837,0.00809,2.69127,3.62487,1.49421,0.000329781,0.000329781,0.000329781
29,35.0378,2.40391,2.4876,1.19241,0.0098,0.14944,0.02841,0.01206,2.71628,3.58053,1.5236,0.000337374,0.000337374,0.000337374
30,35.9307,2.45392,2.38639,1.18907,0.0098,0.14944,0.02841,0.01206,2.71628,3.58053,1.5236,0.000344637,0.000344637,0.000344637
31,36.8269,2.21264,2.49467,1.13908,0.00618,0.0968,0.0174,0.00511,2.77248,3.51723,1.53776,0.00035157,0.00035157,0.00035157
32,37.7923,2.51146,2.56422,1.21124,0.00618,0.0968,0.0174,0.00511,2.77248,3.51723,1.53776,0.000358173,0.000358173,0.000358173
33,38.7365,2.43588,2.43904,1.23239,0.00419,0.07049,0.0027,0.00055,2.79158,3.46931,1.58047,0.000364446,0.000364446,0.000364446
34,39.7714,2.5629,2.45684,1.14349,0.00419,0.07049,0.0027,0.00055,2.79158,3.46931,1.58047,0.000370389,0.000370389,0.000370389
35,40.6732,2.24687,2.32346,1.17155,0.0033,0.05263,0.00201,0.00048,2.76457,3.46986,1.54905,0.000376002,0.000376002,0.000376002
